SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","4/26/2025","93dd0b2b-a3c4-4b5d-813b-06f8111099d5","Storage","General Block Blob v2 Hierarchical Namespace","US East 2","Hot Other Operations","0.0027","0.000014"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/14/2025","fd7cfa1e-026e-4be1-871b-1c2386e8902e","Storage","Tiered Block Blob","All","Hot Read Operations - Free","0.0068","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/15/2025","fd7cfa1e-026e-4be1-871b-1c2386e8902e","Storage","Tiered Block Blob","All","Hot Read Operations - Free","0.0009","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","3/29/2025","a435c5fc-1ab7-4be4-8cf4-223a670cae26","IoT Hub","All","All","Free Unit","0.064516","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","3/30/2025","a435c5fc-1ab7-4be4-8cf4-223a670cae26","IoT Hub","All","All","Free Unit","0.032258","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","4/26/2025","a435c5fc-1ab7-4be4-8cf4-223a670cae26","IoT Hub","All","All","Free Unit","0.032258","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/13/2025","830aab6c-b809-4ce2-8556-2adc72b0ddd5","Storage","Tiered Block Blob","US East 2","Hot GRS Write Operations","0.0004","0.000040"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/14/2025","830aab6c-b809-4ce2-8556-2adc72b0ddd5","Storage","Tiered Block Blob","US East 2","Hot GRS Write Operations","0.0005","0.000050"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/15/2025","830aab6c-b809-4ce2-8556-2adc72b0ddd5","Storage","Tiered Block Blob","US East 2","Hot GRS Write Operations","0.0003","0.000030"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","4/26/2025","e6ab7238-e433-4fe0-a2b2-2b2564df2cdb","Virtual Network","Private Link","Global","Standard Private Endpoint","3","0.030000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/13/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0278","0.000112"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/14/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0366","0.000145"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/15/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0104","0.000040"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/16/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0032","0.000011"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/17/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/18/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0004","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/19/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/20/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/21/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0008","0.000002"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/22/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/23/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0008","0.000002"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/24/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/25/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/26/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/27/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/28/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/29/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/30/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/31/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","6/1/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","6/2/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","6/3/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","6/4/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","6/5/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","6/6/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","6/7/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","6/8/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","6/9/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","6/10/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","6/11/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","6/12/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","6/13/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","6/14/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","6/15/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","6/16/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","6/17/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0006","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","6/18/2025","d80790e5-eec3-42e4-a16c-2c8a4037c7dc","Storage","Tiered Block Blob","US East 2","All Other Operations","0.0005","0.000001"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","4/26/2025","32c3ebec-1646-49e3-8127-2cafbd3a04d8","Bandwidth","Rtn Preference: MGN","All","Standard Data Transfer In","3E-06","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/13/2025","32c3ebec-1646-49e3-8127-2cafbd3a04d8","Bandwidth","Rtn Preference: MGN","All","Standard Data Transfer In","0.000102","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/14/2025","32c3ebec-1646-49e3-8127-2cafbd3a04d8","Bandwidth","Rtn Preference: MGN","All","Standard Data Transfer In","0.000467","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/15/2025","32c3ebec-1646-49e3-8127-2cafbd3a04d8","Bandwidth","Rtn Preference: MGN","All","Standard Data Transfer In","6.5E-05","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/16/2025","32c3ebec-1646-49e3-8127-2cafbd3a04d8","Bandwidth","Rtn Preference: MGN","All","Standard Data Transfer In","2.9E-05","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","4/26/2025","036bb606-a9e4-5cc2-9796-2fe349a27c54","Azure Synapse Analytics","Spark Pool - Memory Optimized","US East 2","vCore","10.4001","1.478271"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/14/2025","37f4764d-a5d4-4e3f-adc4-5da17d28498d","Storage","Premium SSD Managed Disks","US East 2","P10 LRS Disk","0.021504","0.385344"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/15/2025","37f4764d-a5d4-4e3f-adc4-5da17d28498d","Storage","Premium SSD Managed Disks","US East 2","P10 LRS Disk","0.047429","0.849911"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/16/2025","37f4764d-a5d4-4e3f-adc4-5da17d28498d","Storage","Premium SSD Managed Disks","US East 2","P10 LRS Disk","0.035106","0.629087"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","4/2/2025","6f5f7977-99ce-5cb0-a43c-6172edc494fb","SQL Database","Single/Elastic Pool General Purpose - Storage","US East 2","General Purpose Data Stored - Free","0.284946","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","4/26/2025","27657332-d161-4e01-86f8-636f0b9b465c","Storage","Azure Data Lake Storage Gen2 Hierarchical Namespace","US East 2","Hot Other Operations","0.0004","0.000002"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/14/2025","767660fa-525b-436f-a375-6da3e26f09b2","Storage","Files","All","Delete Operations","0.0005","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/15/2025","767660fa-525b-436f-a375-6da3e26f09b2","Storage","Files","All","Delete Operations","0.0003","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/14/2025","a7f2aa67-b9a2-4593-a413-6ec86d6c8e5b","Storage","Files","All","LRS Data Stored - Free","0.000144","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/15/2025","a7f2aa67-b9a2-4593-a413-6ec86d6c8e5b","Storage","Files","All","LRS Data Stored - Free","0.000288","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/16/2025","a7f2aa67-b9a2-4593-a413-6ec86d6c8e5b","Storage","Files","All","LRS Data Stored - Free","0.000288","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/17/2025","a7f2aa67-b9a2-4593-a413-6ec86d6c8e5b","Storage","Files","All","LRS Data Stored - Free","0.000288","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/18/2025","a7f2aa67-b9a2-4593-a413-6ec86d6c8e5b","Storage","Files","All","LRS Data Stored - Free","0.000288","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/19/2025","a7f2aa67-b9a2-4593-a413-6ec86d6c8e5b","Storage","Files","All","LRS Data Stored - Free","0.000288","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/20/2025","a7f2aa67-b9a2-4593-a413-6ec86d6c8e5b","Storage","Files","All","LRS Data Stored - Free","0.000288","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/21/2025","a7f2aa67-b9a2-4593-a413-6ec86d6c8e5b","Storage","Files","All","LRS Data Stored - Free","0.000288","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/22/2025","a7f2aa67-b9a2-4593-a413-6ec86d6c8e5b","Storage","Files","All","LRS Data Stored - Free","0.000288","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/23/2025","a7f2aa67-b9a2-4593-a413-6ec86d6c8e5b","Storage","Files","All","LRS Data Stored - Free","0.000288","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/24/2025","a7f2aa67-b9a2-4593-a413-6ec86d6c8e5b","Storage","Files","All","LRS Data Stored - Free","0.000288","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/25/2025","a7f2aa67-b9a2-4593-a413-6ec86d6c8e5b","Storage","Files","All","LRS Data Stored - Free","0.000288","0.000000"
"Azure for Students","0f97e534-99fb-44d6-af08-d92f0aa12382","5/26/2025","a7f2aa67-b9a2-4593-a413-6ec86d6c8e5b","Storage","Files","All","LRS Data Stored - Free","0.000288","0.000000"
